location_address_streetAddress,location_address_city,location_position_latitude,location_position_longitude,location_namedAreas_0,location_region_municipalityName,location_region_countyName,listPrice,livingArea,plotArea,source_name,source_id,source_type,source_url,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,additionalArea,rent
Bygattu 79,Sifferbo,60.566432,15.212946,Sifferbo,Gagnef,Dalarnas län,1995000,146.0,1184.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,6.0,2018-09-12 19:00:54,1985.0,Villa,3237813,2018-10-02,2020000,maklare,https://www.booli.se/annons/3237813,,
Ersholsvägen 58,Mockfjärd,60.486884,14.96166,Mockfjärd,Gagnef,Dalarnas län,680000,70.0,780.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2018-04-26 16:49:25,1909.0,Villa,3137891,2018-12-06,680000,maklare,https://www.booli.se/annons/3137891,35.0,
Björkvägen 8,Djurmo,60.549938,15.201425,Djurmo,Gagnef,Dalarnas län,1500000,103.0,949.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2019-09-10 16:39:12,1972.0,Villa,3557571,2019-09-17,1600000,maklare,https://www.booli.se/annons/3557571,103.0,
Ängsholsvägen 10,Gagnef,60.588467,15.080005,Gagnef,Gagnef,Dalarnas län,2995000,131.0,3800.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2019-07-02 23:48:07,1923.0,Villa,3454984,2019-09-09,3100000,bid,https://www.booli.se/annons/3454984,40.0,
Vattuvägen 2,Djurås,60.556632,15.123236,Djurås,Gagnef,Dalarnas län,1450000,105.0,1178.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2019-07-22 18:14:24,1955.0,Villa,3477788,2019-08-09,1450000,bid,https://www.booli.se/annons/3477788,80.0,
Lönnvägen 1,Djurmo,60.550627,15.19388815,Djurmo,Gagnef,Dalarnas län,1850000,99.0,1573.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2019-01-03 15:49:39,1909.0,Villa,3309442,2019-08-07,1350000,bid,https://www.booli.se/annons/3309442,,
Älvnäs 17,Gagnef,60.58706561,15.06368506,Nordbäck,Gagnef,Dalarnas län,550000,113.0,,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2019-06-28 00:59:52,1990.0,Villa,3511013,2019-07-11,760000,bid,https://www.booli.se/annons/3511013,,4660.0
Båthusvägen 10,,60.533794,15.162346,Gagnef,Gagnef,Dalarnas län,1485000,90.0,1002.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2019-05-21 20:22:21,,Villa,3453483,2019-06-06,1525000,bid,https://www.booli.se/annons/3453483,,
Gröntuv 87,,60.58321,15.121621,Gagnef,Gagnef,Dalarnas län,1875000,180.0,1664.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,5.0,2019-05-13 12:01:46,1964.0,Villa,3381110,2019-05-27,2500000,bid,https://www.booli.se/annons/3381110,115.0,
Färjbacksvägen 26B,Djurås,60.55214,15.135635,Djurås,Gagnef,Dalarnas län,1995000,80.0,1462.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2019-03-27 09:36:48,1894.0,Villa,3375191,2019-04-15,2220000,bobot,https://www.booli.se/annons/3375191,,
Bäsnavägen 91,Bäsna,60.542994,15.226007,Bäsna,Gagnef,Dalarnas län,1300000,149.0,2457.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,5.0,2019-03-22 16:17:42,1962.0,Villa,3372294,2019-04-17,1050000,bobot,https://www.booli.se/annons/3372294,97.0,
Buffervägen 21,,60.540434,15.123739,Gagnef,Gagnef,Dalarnas län,795000,75.0,2035.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,3.0,2019-03-23 17:35:46,1910.0,Villa,3173551,2019-04-11,805000,bid,https://www.booli.se/annons/3173551,,
Stålmyrgattu 10,Sifferbo,60.56833422,15.21348764,Sifferbo,Gagnef,Dalarnas län,950000,103.0,,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2019-03-19 14:28:02,1990.0,Villa,3202276,2019-03-30,1015000,bid,https://www.booli.se/annons/3202276,,5246.0
Långgattu 29,Bäsna,60.543237,15.209349,Bäsna,Gagnef,Dalarnas län,2200000,115.0,1811.0,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,4.0,2019-03-15 09:30:20,1913.0,Villa,3322357,2019-03-28,2400000,bid,https://www.booli.se/annons/3322357,42.0,
Gråda 10,,60.605831,15.039631,Gråda,Gagnef,Dalarnas län,1290000,120.0,1313.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,,2018-10-26 14:21:35,1800.0,Villa,3114696,2019-02-21,1100000,bid,https://www.booli.se/annons/3114696,,
Storsvevägen 68,Mockfjärd,60.512644,14.961266,Mockfjärd,Gagnef,Dalarnas län,675000,75.0,1581.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,3.0,2018-10-19 17:10:41,1960.0,Villa,3267611,2018-11-08,860000,bid,https://www.booli.se/annons/3267611,75.0,
Blåbärsvägen 12,Mockfjärd,60.493693,14.945472,Mockfjärd,Gagnef,Dalarnas län,750000,126.0,1058.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2018-08-31 15:52:47,1972.0,Villa,3228497,2018-10-02,750000,bid,https://www.booli.se/annons/3228497,,
Nordanholen 18,Mockfjärd,60.50755,14.952259,Mockfjärd,Gagnef,Dalarnas län,695000,88.0,969.0,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/,4.0,2018-08-17 19:57:11,1909.0,Villa,3218763,2018-09-17,685000,bid,https://www.booli.se/annons/3218763,,
Myrheden 10,,60.5347616,15.13148398,Gagnef,Gagnef,Dalarnas län,2195000,175.0,,Fastighetsbyrån,1573,Broker,http://www.fastighetsbyran.se/,6.0,2018-08-22 16:54:07,1956.0,Villa,3216492,2018-09-16,2648000,bid,https://www.booli.se/annons/3216492,100.0,
